
term,week,name,day,time,venue,inCharge,boyInCharge,googleClassroomLink
Autumn 2025,,School Council Meeting,Thu,,,,,
Autumn 2025,,KULTURA FESTA,Thu,,,,,
Autumn 2025,,Last date for submission of poems for Hindi Poetry Competition,Thu,,,,,
Autumn 2025,,Library Council meeting,Fri,,,,,
Autumn 2025,,B.P. Chandola Memorial Hindi Essay Prize Contest,Fri,,,,,
Autumn 2025,,International Artificial Intelligence Olympiad,Fri,,,,,
Autumn 2025,,Trinity Music Theory Examination,Sat,,,,,
Autumn 2025,,Open Day-Visit for prospective parents,Sat,,,,,
Autumn 2025,,School teams returns from IPSC Cricket,Sun,,,,,
Autumn 2025,,"Council meetings (Study, Pastoral, Tech, Co-curricular, IAYP)",Mon,,,,,
Autumn 2025,,Last date for submission of Hindi Short Stories,Mon,,,,,
Autumn 2025,,Navin Chandra Best Hindi debater’s cup begins,Mon,,,,,
Autumn 2025,,Inter-house Boxing begins,Tue,,,,,
Autumn 2025,,Navin Chandra Best Hindi Debater’s cup ends,Wed,,,,,
Autumn 2025,,Inter-house Boxing ends,Thu,,,,,
Autumn 2025,,November Trials/Pre-board 1 begins,Sat,,,,,
Autumn 2025,,IBDP (Cohort 2026) - Final IO (English LangLit HL/SL) begins,Sat,,,,,
Autumn 2025,,IBDP (Cohort 2026)- Final IO (English LangLit HL/SL) ends,Wed,,,,,
Autumn 2025,,IBDP (Cohort 2026) - Final IO For Hindi A begins,Thu,,,,,
Autumn 2025,,IBDP (Cohort 2026) - Final IO For Hindi A ends,Tue,,,,,
Autumn 2025,,November Trials/Pre-Board 1 end,Thu,,,,,
Autumn 2025,,Trinity Rock & Pop Examination Venue Music School,Fri,,,,,
Autumn 2025,,Housemasters' Council meeting,Fri,,,,,
Autumn 2025,,Inter-house Cross-country,Fri,,,,,
Autumn 2025,,End of Term Assembly,Sat,,,,,
Autumn 2025,,Winter Vacations begin & Students leave for home,Sun,,,,,
Autumn 2025,,Winter Expedition begins,Sun,,,,,
Autumn 2025,,"School team leaves for IPSC Athletics at Emerald Heights International School, Indore",Sun,,,,,
Autumn 2025,,BSAI The Doon School Technology Conclave,Tue,,,,,
Autumn 2025,,BSAI The Doon School Technology Conclave,Wed,,,,,
Autumn 2025,,School team returns from IPSC Athletics,Thu,,,,,
Autumn 2025,,16 - 20 Dec RSC Assam Valley,,,,,,
Autumn 2025,,"11 - 19 Dec French Exchange at Lycee Ozanam, Lille",,,,,,
